Country,EPSI,Date,ECPI,CCPI,GSCPI
Indonesia,0.0,1990-01-31,,,
Indonesia,1.0,1990-01-31,,,
Indonesia,0.0,1990-01-31,,,
Indonesia,0.0,1990-01-31,,,
Indonesia,0.0,1990-01-31,,,
Indonesia,0.0,1990-01-31,,,
Indonesia,0.0,1990-01-31,,,
Indonesia,0.0,1990-01-31,,,
Indonesia,0.16666667,1990-01-31,,,
Indonesia,1.0,1990-01-31,,,
Indonesia,0.0,1990-01-31,,,
Indonesia,0.0,1990-01-31,,,
Brazil,0.0,1990-01-31,,,
Brazil,0.0,1990-01-31,,,
Brazil,0.16666667,1990-01-31,,,
Brazil,0.0,1990-01-31,,,
Brazil,0.0,1990-01-31,,,
Brazil,0.0,1990-01-31,,,
Brazil,0.0,1990-01-31,,,
Brazil,1.0,1990-01-31,,,
Brazil,0.0,1990-01-31,,,
Brazil,0.5,1990-01-31,,,
Brazil,0.0,1990-01-31,,,
Brazil,0.0,1990-01-31,,,
Brazil,0.0,1990-01-31,,,
Brazil,0.0,1990-01-31,,,
Brazil,1.0,1990-01-31,,,
Brazil,0.0,1990-01-31,,,
Brazil,0.0,1990-01-31,,,
Russia,0.0,1990-01-31,,,
Russia,0.0,1990-01-31,,,
Russia,0.0,1990-01-31,,,
Russia,0.0,1990-01-31,,,
Russia,0.0,1990-01-31,,,
Russia,0.0,1990-01-31,,,
Russia,0.0,1990-01-31,,,
Russia,0.0,1990-01-31,,,
Russia,0.0,1990-01-31,,,
Russia,0.0,1990-01-31,,,
Russia,0.0,1990-01-31,,,
Russia,0.0,1990-01-31,,,
Russia,0.0,1990-01-31,,,
Russia,0.0,1990-01-31,,,
Russia,0.0,1990-01-31,,,
Russia,0.0,1990-01-31,,,
Russia,0.0,1990-01-31,,,
India,0.0,1990-01-31,,,
India,1.0,1990-01-31,,,
India,0.0,1990-01-31,,,
India,0.0,1990-01-31,,,
India,0.0,1990-01-31,,,
India,0.6388889,1990-01-31,,,
India,0.0,1990-01-31,,,
India,0.0,1990-01-31,,,
India,0.0,1990-01-31,,,
India,0.16666667,1990-01-31,,,
India,0.0,1990-01-31,,,
India,1.75,1990-01-31,,,
India,1.0,1990-01-31,,,
